Date,Open,High,Low,Close,Volume,Adj Close
2014-12-22,4759.040039,4814.950195,4757.799805,4806.859863,1242715000,4806.859863
2014-12-15,4679.669922,4782.129883,4547.310059,4765.379883,2423078000,4765.379883
2014-12-08,4769.759766,4793.240234,4653.600098,4653.600098,1905966000,4653.600098
2014-12-01,4777.72998,4788.97998,4724.620117,4780.759766,1791694000,4780.759766
2014-11-24,4725.169922,4810.859863,4723.620117,4791.629883,1412450000,4791.629883
2014-11-17,4678.439941,4751.600098,4653.330078,4712.970215,1702812000,4712.970215
2014-11-10,4635.100098,4703.100098,4626.490234,4688.540039,1772858000,4688.540039
2014-11-03,4633.709961,4654.189941,4594.919922,4632.529785,1987968000,4632.529785
2014-10-27,4469.02002,4641.509766,4450.290039,4630.740234,2039174000,4630.740234
2014-10-20,4254.160156,4486.259766,4248.220215,4483.720215,1877730000,4483.720215
2014-10-13,4274.910156,4303.819824,4116.600098,4258.439941,2574940000,4258.439941
2014-10-06,4492.399902,4496.259766,4276.240234,4276.240234,2284240000,4276.240234
2014-09-29,4465.839844,4522.060059,4367.740234,4475.620117,2038780000,4475.620117
2014-09-22,4568.450195,4568.870117,4466.640137,4512.189941,1814320000,4512.189941
2014-09-15,4567.450195,4610.569824,4499.870117,4579.790039,2113982000,4579.790039
2014-09-08,4579.060059,4600.399902,4544.439941,4567.600098,1784886000,4567.600098
2014-09-02,4592.419922,4610.140137,4542.740234,4582.899902,1781765000,4582.899902
2014-08-25,4563.720215,4580.27002,4546.620117,4580.27002,1381224000,4580.27002
2014-08-18,4490.529785,4547.240234,4486.439941,4538.549805,1472698000,4538.549805
2014-08-11,4387.379883,4482.470215,4371.839844,4464.930176,1611814000,4464.930176
2014-08-04,4365.620117,4395.379883,4321.890137,4370.899902,1807656000,4370.899902
2014-07-28,4451.120117,4476.060059,4324.02002,4352.640137,2014042000,4352.640137
2014-07-21,4421.200195,4485.50,4404.509766,4449.560059,1767718000,4449.560059
2014-07-14,4441.390137,4451.930176,4352.22998,4432.149902,1857970000,4432.149902
2014-07-07,4477.740234,4478.02002,4351.040039,4415.490234,1768868000,4415.490234
2014-06-30,4398.370117,4485.930176,4396.589844,4485.930176,1597967500,4485.930176
2014-06-23,4368.959961,4399.870117,4339.410156,4397.930176,2193890000,4397.930176
2014-06-16,4303.930176,4372.180176,4296.259766,4368.040039,1983396000,4368.040039
2014-06-09,4324.350098,4346.740234,4284.529785,4310.649902,1802278000,4310.649902
2014-06-02,4247.959961,4322.509766,4207.609863,4321.399902,1700688000,4321.399902
2014-05-27,4206.439941,4252.080078,4204.720215,4242.620117,1803782500,4242.620117
2014-05-19,4080.330078,4186.580078,4075.699951,4185.810059,1695046000,4185.810059
2014-05-12,4092.840088,4155.129883,4035.959961,4090.590088,1878406000,4090.590088
2014-05-05,4099.25,4138.339844,4021.050049,4071.870117,2057182000,4071.870117
2014-04-28,4091.810059,4149.560059,4014.169922,4123.899902,2066558000,4123.899902
2014-04-21,4105.370117,4177.160156,4068.100098,4075.560059,1886628000,4075.560059
2014-04-14,4038.060059,4110.459961,3946.030029,4095.52002,2030355000,4095.52002
2014-04-07,4110.919922,4185.189941,3991.639893,3999.72998,2279366000,3999.72998
2014-03-31,4185.629883,4286.089844,4118.709961,4127.72998,2223944000,4127.72998
2014-03-24,4289.490234,4289.490234,4131.810059,4155.759766,2292272000,4155.759766
2014-03-17,4274.220215,4344.390137,4268.339844,4276.790039,2171812000,4276.790039
2014-03-10,4332.620117,4354.430176,4241.939941,4245.399902,2260352000,4245.399902
2014-03-03,4261.419922,4371.709961,4239.649902,4336.220215,2216630000,4336.220215
2014-02-24,4273.319824,4342.589844,4272.109863,4308.120117,2214722000,4308.120117
2014-02-18,4253.709961,4284.850098,4226.75,4263.410156,1993490000,4263.410156
2014-02-10,4125.120117,4250.910156,4122.609863,4244.02002,1994662000,4244.02002
2014-02-03,4105.060059,4126.509766,3968.189941,4125.859863,2191460000,4125.859863
2014-01-27,4132.220215,4136.459961,4044.76001,4103.879883,2238058000,4103.879883
2014-01-21,4222.97998,4246.549805,4128.169922,4128.169922,2185597500,4128.169922
2014-01-13,4167.410156,4219.279785,4097.990234,4197.580078,2122902000,4197.580078
2014-01-06,4137.029785,4182.740234,4103.75,4174.669922,2254824000,4174.669922
2013-12-30,4153.580078,4177.72998,4124.959961,4131.910156,1539227500,4131.910156
2013-12-23,4136.149902,4175.359863,4127.720215,4156.589844,1254340000,4156.589844
2013-12-16,4019.370117,4111.930176,3979.590088,4104.740234,2261352000,4104.740234
2013-12-09,4073.75,4081.780029,3992.290039,4000.97998,1802822000,4000.97998
2013-12-02,4065.659912,4069.860107,4004.76001,4062.52002,1810088000,4062.52002
2013-11-25,4004.370117,4069.699951,3987.159912,4059.889893,1508490000,4059.889893
2013-11-18,3990.060059,3994.969971,3911.610107,3991.649902,1742680000,3991.649902
2013-11-11,3913.639893,3985.969971,3899.310059,3985.969971,1812784000,3985.969971
2013-11-04,3932.600098,3955.969971,3855.070068,3919.22998,2011546000,3919.22998
2013-10-28,3942.560059,3966.709961,3904.199951,3922.040039,1962860000,3922.040039
2013-10-21,3922.649902,3961.100098,3887.669922,3943.360107,1952026000,3943.360107
2013-10-14,3767.48999,3914.929932,3766.280029,3914.280029,1772590000,3914.280029
2013-10-07,3776.639893,3800.080078,3650.030029,3791.870117,1891806000,3791.870117
2013-09-30,3737.600098,3819.280029,3734.73999,3807.75,1793200000,3807.75
2013-09-23,3786.840088,3795.719971,3745.540039,3781.590088,1775808000,3781.590088
2013-09-16,3755.00,3798.76001,3712.469971,3774.72998,1839474000,3774.72998
2013-09-09,3675.120117,3731.840088,3675.120117,3722.179932,1668658000,3722.179932
2013-09-03,3622.639893,3677.070068,3593.620117,3660.01001,1670570000,3660.01001
2013-08-26,3661.810059,3684.219971,3573.570068,3589.870117,1417628000,3589.870117
2013-08-19,3601.879883,3660.659912,3589.02002,3657.790039,1311026000,3657.790039
2013-08-12,3645.780029,3691.060059,3598.649902,3602.780029,1583892000,3602.780029
2013-08-05,3682.669922,3694.189941,3633.590088,3660.110107,1565072000,3660.110107
2013-07-29,3604.290039,3689.590088,3592.800049,3689.590088,1759648000,3689.590088
2013-07-22,3599.870117,3613.330078,3573.530029,3613.159912,1796810000,3613.159912
2013-07-15,3601.090088,3624.540039,3578.570068,3587.610107,1621772000,3587.610107
2013-07-08,3493.810059,3600.080078,3475.389893,3600.080078,1616522000,3600.080078
2013-07-01,3430.47998,3479.459961,3415.22998,3479.379883,1365580000,3479.379883
2013-06-24,3326.379883,3422.199951,3294.949951,3403.25,2135946000,3403.25
2013-06-17,3449.969971,3488.310059,3326.860107,3357.25,1973904000,3357.25
2013-06-10,3475.679932,3484.810059,3387.610107,3423.560059,1557972000,3423.560059
2013-06-03,3460.76001,3482.75,3378.23999,3469.219971,1837828000,3469.219971
2013-05-28,3497.899902,3514.800049,3450.399902,3455.909912,1812077500,3455.909912
2013-05-20,3490.459961,3532.040039,3422.51001,3459.139893,1794250000,3459.139893
2013-05-13,3429.530029,3499.199951,3426.669922,3498.969971,1810862000,3498.969971
2013-05-06,3382.330078,3436.600098,3381.040039,3436.580078,1696512000,3436.580078
2013-04-29,3290.310059,3388.120117,3289.419922,3378.629883,1793206000,3378.629883
2013-04-22,3217.399902,3301.280029,3198.73999,3279.26001,1757180000,3279.26001
2013-04-15,3277.580078,3283.399902,3154.959961,3206.060059,1740460000,3206.060059
2013-04-08,3207.149902,3306.949951,3195.570068,3294.949951,1578374000,3294.949951
2013-04-01,3268.629883,3270.22998,3168.879883,3203.860107,1589176000,3203.860107
2013-03-25,3255.850098,3270.300049,3222.47998,3267.52002,1541860000,3267.52002
2013-03-18,3215.709961,3257.98999,3205.419922,3245.00,1642786000,3245.00
2013-03-11,3237.73999,3260.620117,3229.919922,3249.070068,1767280000,3249.070068
2013-03-04,3159.459961,3248.699951,3154.790039,3244.370117,1732232000,3244.370117
2013-02-25,3180.590088,3186.25,3105.360107,3169.73999,1879756000,3169.73999
2013-02-19,3197.459961,3213.600098,3118.620117,3161.820068,1869942500,3161.820068
2013-02-11,3192.530029,3206.209961,3182.189941,3192.030029,1788838000,3192.030029
2013-02-04,3161.719971,3196.889893,3130.570068,3193.870117,1960002000,3193.870117
2013-01-28,3152.169922,3183.139893,3133.110107,3179.100098,2040876000,3179.100098
2013-01-22,3135.629883,3161.060059,3121.540039,3149.709961,1864040000,3149.709961
2013-01-14,3113.649902,3144.050049,3093.320068,3134.709961,1809576000,3134.709961
2013-01-07,3089.169922,3127.719971,3076.600098,3125.629883,1741254000,3125.629883
2012-12-31,2955.449951,3118.179932,2953.52002,3101.659912,1795772500,3101.659912
2012-12-24,3013.889893,3018.649902,2951.040039,2960.310059,1039935000,2960.310059
2012-12-17,2975.50,3061.820068,2973.540039,3021.01001,2080220000,3021.01001
2012-12-10,2973.189941,3035.189941,2963.800049,2971.330078,1765496000,2971.330078
2012-12-03,3029.209961,3030.280029,2958.26001,2978.040039,1715388000,2978.040039
2012-11-26,2961.02002,3017.179932,2935.879883,3010.23999,1816652000,3010.23999
2012-11-19,2886.00,2967.189941,2884.75,2966.850098,1394700000,2966.850098
2012-11-12,2916.379883,2920.01001,2810.800049,2853.129883,1900024000,2853.129883
2012-11-05,2983.030029,3024.439941,2889.810059,2904.870117,1803466000,2904.870117
2012-10-31,2986.850098,3033.850098,2964.939941,2982.129883,1840503300,2982.129883
2012-10-22,3005.919922,3020.610107,2961.159912,2987.949951,1842866000,2987.949951
2012-10-15,3053.209961,3112.449951,3000.27002,3005.620117,1868032000,3005.620117
2012-10-08,3121.330078,3125.48999,3039.580078,3044.110107,1548166000,3044.110107
2012-10-01,3130.310059,3171.459961,3101.639893,3136.189941,1652984000,3136.189941
2012-09-24,3155.350098,3176.300049,3080.280029,3116.22998,1794956000,3116.22998
2012-09-17,3183.399902,3196.929932,3156.459961,3179.959961,1875778000,3179.959961
2012-09-10,3131.340088,3195.669922,3098.820068,3183.949951,1741106000,3183.949951
2012-09-04,3063.25,3139.610107,3040.23999,3136.419922,1665132500,3136.419922
2012-08-27,3083.620117,3087.23999,3040.590088,3066.959961,1328514000,3066.959961
2012-08-20,3072.659912,3100.540039,3042.219971,3069.790039,1443700000,3069.790039
2012-08-13,3018.27002,3076.719971,2999.120117,3076.590088,1607202000,3076.590088
2012-08-06,2978.159912,3028.610107,2974.22998,3020.860107,1707302000,3020.860107
2012-07-30,2959.070068,2977.409912,2890.850098,2967.899902,1712158000,2967.899902
2012-07-23,2877.51001,2961.870117,2839.76001,2958.090088,1844766000,2958.090088
2012-07-16,2903.030029,2976.219971,2871.649902,2925.300049,1710402000,2925.300049
2012-07-09,2934.48999,2953.469971,2837.719971,2908.469971,1581886000,2908.469971
2012-07-02,2938.409912,2987.939941,2921.370117,2937.330078,1428995000,2937.330078
2012-06-25,2863.889893,2935.129883,2818.189941,2935.050049,1724642000,2935.050049
2012-06-18,2872.48999,2942.280029,2853.860107,2892.419922,2070192000,2892.419922
2012-06-11,2882.48999,2882.959961,2802.379883,2872.800049,1666016000,2872.800049
2012-06-04,2747.610107,2873.590088,2726.679932,2858.419922,1637606000,2858.419922
2012-05-29,2853.27002,2882.830078,2747.23999,2747.47998,1509742500,2747.47998
2012-05-21,2782.550049,2867.340088,2774.76001,2837.530029,1738976000,2837.530029
2012-05-14,2907.780029,2930.679932,2774.449951,2778.790039,2030600000,2778.790039
2012-05-07,2940.409912,2970.199951,2900.060059,2933.820068,1940578000,2933.820068
2012-04-30,3060.060059,3085.399902,2956.340088,2956.340088,1825146000,2956.340088
2012-04-23,2969.00,3076.439941,2946.040039,3069.199951,1744158000,3069.199951
2012-04-16,3027.570068,3058.719971,2975.870117,3000.449951,1735172000,3000.449951
2012-04-09,3037.280029,3059.26001,2987.00,3011.330078,1565964000,3011.330078
2012-04-02,3085.939941,3128.25,3052.580078,3080.50,1733587500,3080.50
2012-03-26,3090.52002,3134.169922,3069.810059,3091.570068,1728990000,3091.570068
2012-03-19,3057.23999,3090.080078,3044.669922,3067.919922,1512624000,3067.919922
2012-03-12,2989.050049,3060.820068,2973.649902,3055.26001,1696002000,3055.26001
2012-03-05,2969.72998,2993.97998,2900.280029,2988.340088,1667882000,2988.340088
2012-02-27,2945.870117,3000.110107,2933.300049,2976.189941,1881030000,2976.189941
2012-02-21,2957.300049,2970.879883,2922.959961,2963.75,1734855000,2963.75
2012-02-13,2926.209961,2962.780029,2911.330078,2951.780029,1891944000,2951.780029
2012-02-06,2892.52002,2930.679932,2885.169922,2903.879883,1878190000,2903.879883
2012-01-30,2790.399902,2908.129883,2782.439941,2905.659912,1929512000,2905.659912
2012-01-23,2786.209961,2834.300049,2766.340088,2816.550049,1779598000,2816.550049
2012-01-17,2736.340088,2793.350098,2721.030029,2786.699951,1885690000,2786.699951
2012-01-09,2682.97998,2726.429932,2662.959961,2710.669922,1720550000,2710.669922
2012-01-03,2657.389893,2682.120117,2627.22998,2674.219971,1706720000,2674.219971
2011-12-27,2613.51001,2633.340088,2586.850098,2605.149902,1020922500,2605.149902
2011-12-19,2564.070068,2618.840088,2518.01001,2618.639893,1545218000,2618.639893
2011-12-12,2617.320068,2639.73999,2525.879883,2555.330078,1906394000,2555.330078
2011-12-05,2666.469971,2674.530029,2592.550049,2646.850098,1669230000,2646.850098
2011-11-28,2509.629883,2659.22998,2507.719971,2626.929932,1836032000,2626.929932
2011-11-21,2535.340088,2539.870117,2441.47998,2441.51001,1560025000,2441.51001
2011-11-14,2671.110107,2695.870117,2567.149902,2572.50,1802276000,2572.50
2011-11-07,2683.379883,2730.389893,2601.790039,2678.75,1840432000,2678.75
2011-10-31,2705.889893,2716.699951,2597.159912,2686.149902,2005112000,2686.149902
2011-10-24,2644.830078,2753.370117,2598.73999,2737.149902,2086016000,2737.149902
2011-10-17,2653.320068,2667.570068,2557.169922,2637.459961,1929442000,2637.459961
2011-10-10,2522.719971,2667.850098,2519.780029,2667.850098,1708582000,2667.850098
2011-10-03,2401.189941,2512.139893,2298.889893,2479.350098,2479014000,2479.350098
2011-09-26,2496.97998,2590.939941,2415.070068,2415.399902,2067876000,2415.399902
2011-09-19,2584.350098,2643.370117,2420.22998,2483.22998,2174664000,2483.22998
2011-09-12,2442.860107,2627.280029,2438.399902,2622.310059,2181394000,2622.310059
2011-09-06,2417.610107,2568.449951,2414.310059,2467.98999,1890707500,2467.98999
2011-08-29,2510.98999,2611.580078,2469.350098,2480.330078,1759354000,2480.330078
2011-08-22,2396.879883,2486.040039,2337.280029,2479.850098,1926900000,2479.850098
2011-08-15,2522.040039,2555.199951,2338.659912,2341.840088,2218884000,2341.840088
2011-08-08,2447.300049,2524.090088,2331.649902,2507.97998,3310932000,2507.97998
2011-08-01,2791.449951,2796.23999,2464.870117,2532.409912,2842298000,2532.409912
2011-07-25,2832.110107,2859.399902,2724.98999,2756.379883,2017784000,2756.379883
2011-07-18,2777.610107,2862.719971,2743.790039,2858.830078,1889604000,2858.830078
2011-07-11,2828.100098,2841.120117,2755.899902,2789.800049,1883544000,2789.800049
2011-07-05,2817.870117,2878.939941,2810.00,2859.810059,1670485000,2859.810059
2011-06-27,2653.070068,2818.189941,2647.550049,2816.030029,1740666000,2816.030029
2011-06-20,2608.050049,2693.22998,2607.73999,2652.889893,2005806000,2652.889893
2011-06-13,2649.300049,2685.649902,2599.860107,2616.47998,1976544000,2616.47998
2011-06-06,2728.310059,2736.659912,2641.639893,2643.72998,1898346000,2643.72998
2011-05-31,2824.25,2835.340088,2730.629883,2732.780029,2140092500,2732.780029
2011-05-23,2761.959961,2801.149902,2739.850098,2796.860107,1822256000,2796.860107
2011-05-16,2815.899902,2828.409912,2759.290039,2803.320068,1939028000,2803.320068
2011-05-09,2828.23999,2874.610107,2819.370117,2828.469971,2010516000,2828.469971
2011-05-02,2881.280029,2887.75,2804.820068,2827.560059,2151604000,2827.560059
2011-04-25,2820.280029,2876.830078,2813.199951,2873.540039,2009800000,2873.540039
2011-04-18,2731.219971,2820.77002,2706.50,2820.159912,1912785000,2820.159912
2011-04-11,2789.48999,2792.949951,2733.679932,2764.649902,1823888000,2764.649902
2011-04-04,2796.26001,2815.550049,2771.419922,2780.419922,1822980000,2780.419922
2011-03-28,2752.330078,2802.629883,2720.189941,2789.600098,1821074000,2789.600098
2011-03-21,2675.469971,2762.550049,2660.169922,2743.060059,1798038000,2743.060059
2011-03-14,2695.659912,2715.219971,2603.50,2643.669922,2143832000,2643.669922
2011-03-07,2793.189941,2794.820068,2689.409912,2715.610107,2047470000,2715.610107
2011-02-28,2791.280029,2802.320068,2730.719971,2784.669922,2019508000,2784.669922
2011-02-22,2795.439941,2808.179932,2705.540039,2781.050049,2168590000,2781.050049
2011-02-14,2810.189941,2840.51001,2798.830078,2833.949951,2059352000,2833.949951
2011-02-07,2773.26001,2810.560059,2762.340088,2809.439941,2013232000,2809.439941
2011-01-31,2693.300049,2769.699951,2676.870117,2769.300049,2026174000,2769.300049
2011-01-24,2693.030029,2763.639893,2679.570068,2686.889893,2046104000,2686.889893
2011-01-18,2744.800049,2766.169922,2686.590088,2689.540039,2097832500,2689.540039
2011-01-10,2691.469971,2755.300049,2682.25,2755.300049,1916008000,2755.300049
2011-01-03,2676.649902,2715.959961,2663.639893,2703.169922,2013512000,2703.169922
2010-12-27,2657.090088,2673.02002,2645.379883,2652.870117,1090080000,2652.870117
2010-12-20,2651.97998,2675.26001,2634.560059,2665.600098,1559957500,2665.600098
2010-12-13,2645.350098,2651.350098,2613.149902,2642.969971,1941940000,2642.969971
2010-12-06,2591.280029,2639.409912,2584.090088,2637.540039,1789698000,2637.540039
2010-11-29,2522.23999,2593.679932,2488.610107,2591.459961,1991842000,2591.459961
2010-11-22,2509.389893,2545.409912,2483.159912,2534.560059,1500362500,2534.560059
2010-11-15,2529.02002,2534.560059,2459.790039,2518.120117,1957778000,2518.120117
